Date,Price,Open,High,Low,Vol.,Change %
2022-11-15,12500,12000,12550,12000,40.42M,2.46%
2022-11-16,13350,12300,13350,11800,34.90M,6.80%
2022-11-17,14250,13900,14250,13800,21.51M,6.74%
2022-11-18,15100,14600,15200,14250,99.66M,5.96%
2022-11-21,14950,15200,15250,14750,31.60M,-0.99%
2022-11-22,14800,14650,15450,14450,43.25M,-1.00%
2022-11-23,13800,14700,14850,13800,30.30M,-6.76%
2022-11-24,14350,13700,14400,13600,31.12M,3.99%
2022-11-25,15300,14600,15300,14350,26.53M,6.62%
2022-11-28,16350,15600,16350,15600,58.84M,6.86%
2022-11-29,17400,16600,17450,16350,64.31M,6.42%
2022-11-30,18400,17550,18400,17200,57.72M,5.75%
2022-12-01,18200,18750,19650,18000,66.59M,-1.09%
2022-12-02,19450,18000,19450,17800,45.68M,6.87%
2022-12-05,20000,19800,20400,19500,46.51M,2.83%
2022-12-06,18600,19900,19950,18600,62.78M,-7.00%
2022-12-07,18250,18000,19150,17700,34.62M,-1.88%
2022-12-08,18900,18900,19350,18500,29.94M,3.56%
2022-12-09,19200,18900,19450,18500,34.55M,1.59%
2022-12-12,18600,19200,19550,18600,35.83M,-3.13%
2022-12-13,19000,18600,19000,18250,24.34M,2.15%
2022-12-14,19200,19350,19600,19000,34.29M,1.05%
2022-12-15,19350,19100,19650,19100,20.98M,0.78%
2022-12-16,20400,19200,20450,18950,55.38M,5.43%
2022-12-19,20000,20600,21250,20000,48.04M,-1.96%
2022-12-20,19000,19800,20100,18750,45.55M,-5.00%
2022-12-21,18900,19400,19450,18100,27.70M,-0.53%
2022-12-22,18900,19100,19600,18700,18.97M,0.00%
2022-12-23,18350,18850,18900,18100,24.81M,-2.91%
2022-12-26,17100,18300,18300,17100,31.37M,-6.81%
2022-12-27,18250,17100,18250,17100,23.66M,6.73%
2022-12-28,18200,18400,18500,17950,14.31M,-0.27%
2022-12-29,18000,18300,18500,17850,17.42M,-1.10%
2022-12-30,18000,18100,18450,17900,14.45M,0.00%
2023-01-03,19250,18300,19250,18200,27.99M,6.94%
2023-01-04,19400,19450,19800,19300,20.23M,0.78%
2023-01-05,19800,19400,20000,19150,21.50M,2.06%
2023-01-06,19400,19700,20100,19200,19.63M,-2.02%
2023-01-09,19600,19800,20100,19500,16.19M,1.03%
2023-01-10,19800,19600,20100,19200,26.85M,1.02%
2023-01-11,20200,20000,20550,19900,25.71M,2.02%
2023-01-12,20050,20100,20250,19900,20.17M,-0.74%
2023-01-13,19950,20250,20350,19900,19.17M,-0.50%
2023-01-16,20250,20000,20650,19950,22.32M,1.50%
2023-01-17,21650,20450,21650,20450,41.58M,6.91%
2023-01-18,21700,22000,22050,21550,25.85M,0.23%
2023-01-19,21150,21600,21850,20850,43.94M,-2.53%
2023-01-27,21500,21000,21550,20850,26.52M,1.65%
2023-01-30,21750,21700,22200,21350,42.34M,1.16%
2023-01-31,22100,21900,22100,21700,28.11M,1.61%
2023-02-01,21100,22200,22650,21000,51.91M,-4.52%
2023-02-02,21300,21200,21700,21100,25.39M,0.95%
2023-02-03,21100,21450,21550,21000,20.96M,-0.94%
2023-02-06,21150,21100,21150,20550,22.28M,0.24%
2023-02-07,19750,21150,21200,19700,43.38M,-6.62%
